Basketball Players New2 - Person → Positionnew,Basketball Players New2 - Person → Height Ft In,Player Eligibility 2024 - Name → Eligibility Year,Basketball Conferences Tiers - Conference → Conference Name,Basketball Conferences Tiers - Conference → Conf Tier,Overall Dataset - Person → Pts/100 Poss,Dataset for conditionals - Person → 3fg% Conditional,Overall Dataset - Person → Reb/100 Poss,Overall Dataset - Person → Blk/40,Dataset for conditionals - Person → Blk/40 Conditional,Dataset for conditionals - Person → A:to Conditional,Dataset for conditionals - Person → 3fg/fga,Tv Name,Name,Dataset for conditionals - Person → Rebs/100 Conditional,Dataset for conditionals - Person → 3fga/fga Conditional,Dataset for conditionals - Person → Ft% Conditional,Dataset for conditionals - Person → Pts/100 Conditional,Basketball Teams - Team → Team Name,Assists Turnover Ratio,Three Pointers Percentage,Free Throws Percentage
3 | 4,"6' 07""",5.0,Atlantic 10,Mid,20.95774484722361,1,12.210164389252016,0.9913924519034473,0,1,0.2967032967032967,,Andrei Savrasov,1,0,0,0,Duquesne,1.615385,0.333333,0.529412
2 | 3,"6' 06""",5.0,MEAC,Other,0.0,0,10.473946059177795,0.0,,0,1.0,,Daiquan Copeland,0,1,0,0,Coppin St.,0.0,0.0,0.0
1,"6' 01""",4.5,Horizon,Low,23.46429376578333,0,5.115761722191133,0.04638290628119961,,1,0.5787965616045845,,Drew Lowder,,1,1,0,Cleveland St.,2.128205,0.341584,0.795455
3 | 4,"6' 08""",3.0,Ivy League,Low,27.487685577277755,0,15.96970935852127,1.3934631351771654,1,0,0.20677966101694914,,Nana Owusu-Anane,0,0,1,0,Brown,0.979167,0.311475,0.681159
2 | 3,"6' 06""",4.5,ACC,High,17.322433022786374,0,11.163345725795663,2.350076746758018,,1,0.5306122448979592,,Zack Austin,0,1,1,0,Pittsburgh,2.6,0.269231,0.74
4 | 5,"6' 10""",5.0,Big Sky,Low,17.09132390491483,,10.14797356854318,1.8159531648972005,1,,0.1,,John Olmsted,0,0,1,0,Montana St.,0.857143,0.0,0.666667
3 | 4,"6' 08""",3.0,ACC,High,21.54271924805727,1,21.12031298829144,0.8490365821293159,0,1,0.18181818181818182,,Ian Schieffelin,0,0,1,0,Clemson,1.638889,0.533333,0.746032
2 | 3,"6' 06""",2.0,Big East,High,18.85475749759783,0,6.78771269913522,0.3263587115947843,,0,0.17989417989417988,,Elijah Fisher,0,0,1,1,DePaul,0.913043,0.264706,0.721649
4 | 5,"7' 00""",1.0,MEAC,Other,13.790084950582454,,14.939258696464325,0.7699464097408537,0,,0.0,,Darryon Prescott,0,0,1,0,Coppin St.,0.25,0.0,0.705882
1 | 2,"6' 03""",1.0,MEAC,Other,9.705614142693543,0,7.312449011618423,0.0890789243233517,,0,0.3372093023255814,,Aa'reyon Munir-Jones,,0,0,0,Coppin St.,0.833333,0.137931,0.607143
1 | 2,"6' 03""",2.0,Horizon,Low,15.403119295520312,0,6.226792906699702,0.22285364087135773,,0,0.32558139534883723,,Ramar Pryor,,0,1,0,Cleveland St.,1.0,0.142857,0.777778
4 | 5,"6' 09""",5.0,OVC,Low,15.982398659079658,,12.868944374843359,2.023745284753593,1,,0.0,,Zach Iyeyemi,0,0,0,0,Morehead St.,0.470588,0.0,0.490196
1 | 2,"6' 04""",2.0,NEC,Low,,0,,0.0,,0,,,Stefan Gogic,,,0,,Central Conn. St.,0.0,0.0,0.0
4 | 5,"6' 10""",1.0,MAAC,Low,19.865789199990115,,10.8556225136558,1.3482683161960503,1,,0.18421052631578946,,Peyton Smith,0,0,1,0,Fairfield,1.08,0.25,0.73913
4 | 5,"6' 10""",1.0,MAAC,Low,,,,0.0,1,,0.18421052631578946,,Peyton Smith,0,0,1,0,Fairfield,1.08,0.25,0.73913
1,"6' 00""",5.0,SoCon,Other,19.159281470627832,0,5.5326267348337055,0.4487575018254006,,1,0.48322147651006714,,Garrett Hicks,,1,1,0,Samford,2.35,0.347222,0.8
4 | 5,"6' 09""",4.5,AAC,Mid,23.969726302459467,,14.829519385568307,2.4501350582319463,1,,0.4880382775119617,,Jared Garcia,0,0,1,0,Tulsa,0.511628,0.333333,0.796296
1,"6' 00""",2.0,SoCon,Other,44.424433376162675,1,0.0,0.0,,0,0.3333333333333333,,Joe Spinelli,,0,0,0,Wofford,0.0,1.0,0.0
1 | 2,"6' 04""",3.0,America East,Low,13.068914266742365,1,8.785824717137723,0.1625377572670479,,0,0.6964285714285714,,Devan Sapp,,1,0,0,UMBC,0.64,0.397436,0.0
3 | 4,"6' 07""",5.0,NEC,Low,,1,,0.995315904532892,0,1,0.15444015444015444,,Allan Jeanne-Rose,,0,1,,Central Conn. St.,1.0,0.35,0.691729
1,"6' 00""",3.0,Big Sky,Low,10.82641612405436,0,5.41320806202718,0.0,,0,0.5,,Carter Ash,,1,0,0,Montana St.,0.0,0.0,0.0
2 | 3,"6' 05""",5.0,Mountain West,Mid,14.603564330248313,1,3.972169497827541,0.08528481568865015,,1,0.7821782178217822,,Jemarl Baker Jr.,0,1,1,0,New Mexico,5.333333,0.405063,0.7
4 | 5,"7' 02""",2.0,OVC,Low,13.316355072166264,,13.732491168171459,1.373249116817146,1,,0.0,,David Craig,0,0,0,0,Tennessee Tech,0.222222,0.0,0.363636
3 | 4,"6' 08""",1.0,CUSA,Mid,17.184084505262625,0,14.151599004333926,0.6974716652136007,0,0,0.7777777777777778,,CJ Beaumont,1,1,0,1,Sam Houston,0.2,0.285714,0.5
3 | 4,"6' 07""",5.0,Big 12,High,31.16989035120607,1,10.532291716845886,0.44192926730819565,0,1,0.3354632587859425,,Kevin McCullar Jr.,1,0,1,1,Kansas,1.672131,0.352381,0.792857
1 | 2,"6' 03""",4.5,Atlantic 10,Mid,36.32327778982516,1,21.188578710731345,0.0,,0,0.14285714285714285,,Chris Arizin,,0,0,1,Saint Joseph's,1.0,1.0,0.333333
2 | 3,"6' 05""",1.0,Atlantic 10,Mid,18.09954751131222,0,18.09954751131222,0.0,,0,1.0,,Will Lange,1,1,0,1,Saint Joseph's,0.0,0.0,0.5
4 | 5,"6' 11""",1.0,Ivy League,Low,36.133082097032535,,11.743251681535575,0.6232956661738113,0,,0.24,,Arop Arop,0,0,1,1,Columbia,1.0,0.333333,0.666667
2 | 3,"6' 05""",5.0,ASUN,Low,20.77953941756575,1,7.070815496255012,0.18759306418635746,,1,0.5741444866920152,,Garrett Tipton,0,1,1,0,Bellarmine,1.314286,0.377483,0.884615
3 | 4,"6' 08""",4.5,SoCon,Other,24.71138055629539,0,15.71451870327522,0.870896227372352,0,0,0.05925925925925926,,Alex Holt,0,0,0,0,Mercer,0.375,0.25,0.419355
4 | 5,"6' 11""",3.0,MAAC,Low,12.7400543154729,,11.918115327377873,1.5596292299103114,1,,0.0,,Birima Seck,0,0,0,0,Fairfield,0.5,0.0,0.47619
1,"6' 01""",5.0,Big Sky,Low,27.240051834921847,0,3.8623954094292174,0.1321345797962627,,0,0.71900826446281,,Brandon Betson,,1,1,0,Sacramento St.,0.833333,0.310345,0.851852
3 | 4,"6' 07""",2.0,ACC,High,23.985822155041692,1,12.95785794582712,1.5701064042869244,1,0,0.047619047619047616,,RJ Godfrey,1,0,0,1,Clemson,0.758621,0.333333,0.555556
